"","loci","focal","allele","allele.freq","as.homz"
"11","A-C","A","0201g",0.1210491189,0.1225412116
"18","A-C","A","2301g",0.105360149,0.1063868722
"6","A-C","A","0301g",0.0823596211,0.117954663
"27","A-C","A","6802",0.0731554254,0.1298885741
"9","A-C","A","3001",0.0666009224,0.3150904704
"4","A-C","A","3002",0.0623574296,0.1011213241
"13","A-C","A","0101g",0.0531831177,0.1918887269
"15","A-C","A","7401g",0.0492583849,0.1614826387
"10","A-C","A","0202",0.0436402395,0.0954136215
"28","A-C","A","3303",0.0427038819,0.1707651533
"17","A-C","A","2902",0.0379324428,0.1455073298
"1","A-C","A","6801g",0.0348743388,0.1844052228
"30","A-C","A","3402",0.0279014633,0.194088509
"3","A-C","A","2402g",0.0236081642,0.1027926436
"20","A-C","A","3601",0.0222534341,0.3589368024
"16","A-C","A","3301",0.0218350616,0.1149048131
"8","A-C","A","0205",0.0183187401,0.1458126905
"25","A-C","A","6601",0.0170138163,0.1659650961
"7","A-C","A","1101g",0.0161770712,0.1106304145
"14","A-C","A","2601g",0.0135572622,0.1110525659
"5","A-C","A","3201",0.013109006,0.0908562837
"2","A-C","A","3101",0.0096225682,0.1749375238
"24","A-C","A","6602",0.0091643507,0.3063067108
"22","A-C","A","8001",0.0087360169,0.1806680024
"34","A-C","A","2501",0.0060962854,0.4464522192
"23","A-C","A","0102",0.0052495791,0.1178738987
"37","A-C","A","6603",0.0017432189,0.3735836735
"21","A-C","A","3004",0.0013148851,0.5
"38","A-C","A","0302",0.0013148851,0.3888888889
"12","A-C","A","0260",0.0008765901,0.375
"35","A-C","A","2403g",0.0008765901,0.375
"46","A-C","A","7409",0.0008765901,0.5
"26","A-C","A","7411",0.0008666288,1
"19","A-C","A","7404",0.000438295,1
"29","A-C","A","2901g",0.000438295,0.5
"31","A-C","A","4301",0.000438295,0.5
"32","A-C","A","3104",0.000438295,0.5
"33","A-C","A","6815",0.000438295,1
"36","A-C","A","2608",0.000438295,1
"39","A-C","A","2603",0.000438295,0.5
"40","A-C","A","2612",0.000438295,1
"41","A-C","A","7403",0.000438295,1
"42","A-C","A","0203",0.000438295,1
"43","A-C","A","6901",0.000438295,1
"44","A-C","A","2417",0.000438295,1
"45","A-C","A","0214",0.000438295,1
"47","A-C","A","0213",0.000438295,0.5
"48","A-C","A","0103",0.000438295,1
"49","A-C","A","0274",0.000438295,1
